task,complexity,strategy,model,success,outputLength,tokens,iter,durationMs,costUsd
t1-trivial,trivial,reactive,gpt-4o-mini,1,3,0,8,10871,0.000673
t2-factual,factual,reactive,gpt-4o-mini,1,37,0,8,7325,0.000623
t3-tool,tool-required,reactive,gpt-4o-mini,1,219,0,6,8018,0.000772
t4-multistep,multi-step,reactive,gpt-4o-mini,1,1031,0,32,26965,0.004815
t5-critique,critique-amenable,reactive,gpt-4o-mini,1,272,0,28,25002,0.004588
t1-trivial,trivial,plan-execute-reflect,gpt-4o-mini,1,3,0,4,11599,0.000091
t2-factual,factual,plan-execute-reflect,gpt-4o-mini,1,37,0,4,4065,0.000088
t3-tool,tool-required,plan-execute-reflect,gpt-4o-mini,1,256,0,5,13107,0.000335
t4-multistep,multi-step,plan-execute-reflect,gpt-4o-mini,1,3338,0,7,29525,0.001963
t5-critique,critique-amenable,plan-execute-reflect,gpt-4o-mini,1,2116,0,8,49077,0.002510
t1-trivial,trivial,reflexion,gpt-4o-mini,1,3,0,2,8790,0.000834
t2-factual,factual,reflexion,gpt-4o-mini,1,37,0,2,4381,0.000748
t3-tool,tool-required,reflexion,gpt-4o-mini,1,260,0,2,7009,0.000912
t4-multistep,multi-step,reflexion,gpt-4o-mini,1,218,0,2,7826,0.000801
t5-critique,critique-amenable,reflexion,gpt-4o-mini,1,211,0,2,4491,0.000757
t1-trivial,trivial,tree-of-thought,gpt-4o-mini,1,3,0,25,49190,0.002241
t2-factual,factual,tree-of-thought,gpt-4o-mini,1,8,0,26,31749,0.002161
t3-tool,tool-required,tree-of-thought,gpt-4o-mini,1,335,0,29,38747,0.003351
t4-multistep,multi-step,tree-of-thought,gpt-4o-mini,1,228,0,34,62912,0.004600
t5-critique,critique-amenable,tree-of-thought,gpt-4o-mini,1,264,0,31,70257,0.004111
